Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
[de-]	v:productiveprefix	28	y	n	y	
[dis-]	v:productiveprefix	28	n	y	n	
[mis-]	v:productiveprefix	28	n	n	y	
[out-]	v:productiveprefix	28	y	n	n	
[over-]	v:productiveprefix	28	n	n	y	
[post-]	v:productiveprefix	28	n	n	n	
[pre-]	v:productiveprefix	28	n	n	y	
[re-]	v:productiveprefix	28	n	y	y	
[un-]	v:productiveprefix	28	y	n	y	
[under-]	v:productiveprefix	28	y	n	y	
[ab-]	v:latinprefix	29	n	y	y	
[ad-]	v:latinprefix	29	y	n	y	
[ante-]	v:latinprefix	29	y	y	y	
[be-]	v:latinprefix	29	n	n	y	
[cata-]	v:latinprefix	29	n	n	y	
[circum-]	v:latinprefix	29	n	n	y	
[co-]	v:latinprefix	29	y	n	y	
[contra-]	v:latinprefix	29	y	n	y	
[dia-]	v:latinprefix	29	n	n	y	
[dis-]	v:latinprefix	29	n	n	n	
[down-]	v:latinprefix	29	n	n	y	
[en-]	v:latinprefix	29	y	n	y	
[epi-]	v:latinprefix	29	n	n	y	
[eu-]	v:latinprefix	29	n	n	y	
[ex-]	v:latinprefix	29	n	n	y	
[fore-]	v:latinprefix	29	n	n	y	
[inter-]	v:latinprefix	29	n	n	n	
[intra-]	v:latinprefix	29	n	n	y	
[mis-]	v:latinprefix	29	y	n	y	
[ob-]	v:latinprefix	29	n	n	y	
[para-]	v:latinprefix	29	n	n	y	
[per-]	v:latinprefix	29	n	n	y	
[pro-]	v:latinprefix	29	n	y	y	
[se-]	v:latinprefix	29	n	n	y	
[sub-]	v:latinprefix	29	y	n	y	
[sup-]	v:latinprefix	29	n	n	y	
[sur-]	v:latinprefix	29	n	y	y	
[syn-]	v:latinprefix	29	n	n	y	
[tele-]	v:latinprefix	29	n	n	y	
[up-]	v:latinprefix	29	n	n	y	
ROOT	v:verbroot	30	n	y	n	na
[-ed]	v:verbinflection	31	n	n	n	
[-ing]	v:verbinflection	31	n	y	y	
[-s]	v:verbinflection	31	n	y	y	
Ad-V	v:ad-V3	32	n	n	y	
NP{P,T}	v:obj-part	33	n	n	y	
VERBPART	v:obj-part	33	y	n	y	
NP{R}	v:rec	34	n	y	y	
Ad-VP	v:ad-VP6	35	y	y	n	
PP	v:PP	36	n	n	n	
AD-S	v:rightedge	37	n	y	y	
