Element	Position_Name	Position_Number	stressed	obligatory	independence	left-interaction	right-interaction	Comments
AD-S	v:ad-S4	19	y	n	y	n	n	
not	v:neg3	20	both	n	y	n	n	
AD-VP	v:ad-VP4	21	y	n	y	n	n	
be	v:progressive	22	both	n	y	n	n	
AD-S	v:ad-S5	23	y	n	y	n	n	
not	v:neg4	24	both	n	y	n	n	
AD-VP	v:ad-VP5	25	y	n	y	n	n	
AD-V	v:ad-V2	26	y	n	y	n	n	
air	v:nominal	27	y	n	n	n	y	
baby	v:nominal	27	y	n	n	n	y	
breast	v:nominal	27	y	n	n	n	y	
caretaker	v:nominal	27	y	n	n	n	y	
child	v:nominal	27	y	n	n	n	y	
cross	v:nominal	27	y	n	n	n	y	
dog	v:nominal	27	y	n	n	n	y	
eye	v:nominal	27	y	n	n	n	y	
fact	v:nominal	27	y	n	n	n	y	
grounds	v:nominal	27	y	n	n	n	y	
hand	v:nominal	27	y	n	n	n	y	
house	v:nominal	27	y	n	n	n	y	
lip	v:nominal	27	y	n	n	n	y	
name	v:nominal	27	y	n	n	n	y	
nanny	v:nominal	27	y	n	n	n	y	
pet	v:nominal	27	y	n	n	n	y	
pressure	v:nominal	27	y	n	n	n	y	
rough	v:nominal	27	y	n	n	n	y	
sound	v:nominal	27	y	n	n	n	y	
spell	v:nominal	27	y	n	n	n	y	
spin	v:nominal	27	y	n	n	n	y	
stone	v:nominal	27	y	n	n	n	y	
strong	v:nominal	27	y	n	n	n	y	
[de-]	v:productiveprefix	28	n	n	n	n	n	
[dis-]	v:productiveprefix	28	n	n	n	n	n	
[mis-]	v:productiveprefix	28	n	n	n	n	n	
[out-]	v:productiveprefix	28	n	n	n	n	n	
[over-]	v:productiveprefix	28	n	n	n	n	n	
[post-]	v:productiveprefix	28	n	n	n	n	n	
[pre-]	v:productiveprefix	28	y	n	n	y	n	
[re-]	v:productiveprefix	28	n	n	n	n	n	
[un-]	v:productiveprefix	28	n	n	n	n	n	
[under-]	v:productiveprefix	28	both	n	n	y	n	
[ab-]	v:latinprefix	29	y	n	n	n	y	
[ad-]	v:latinprefix	29	n	n	n	n	n	
[ante-]	v:latinprefix	29	y	n	n	n	n	
[be-]	v:latinprefix	29	n	n	n	n	n	
[cata-]	v:latinprefix	29	y	n	n	n	n	
[circum-]	v:latinprefix	29	y	n	n	n	n	
[co-]	v:latinprefix	29	y	n	n	n	n	
[contra-]	v:latinprefix	29	y	n	n	n	n	
[dia-]	v:latinprefix	29	both	n	n	n	y	diagnose vs. diagram
[dis-]	v:latinprefix	29	n	n	n	n	n	
[down-]	v:latinprefix	29	y	n	n	n	n	
[en-]	v:latinprefix	29	both	n	n	n	y	enter vs. enrich
[epi-]	v:latinprefix	29	y	n	n	n	n	I couldn’t find cases where the prefix did not have primary stress, but I feel like there should be?
[eu-]	v:latinprefix	29	y	n	n	n	n	yes, but I wonder if it counts because its only with -ize derived forms
[ex-]	v:latinprefix	29	both	n	n	n	y	exit vs. expel
[fore-]	v:latinprefix	29	both	n	n	n	y	foresee vs. foreground
[inter-]	v:latinprefix	29	both	n	n	n	y	interrogate vs. intervene
[intra-]	v:latinprefix	29	n	n	n	n	n	
[mis-]	v:latinprefix	29	both	n	n	n	y	misuse vs. misfire
[ob-]	v:latinprefix	29	both	n	n	n	y	
[para-]	v:latinprefix	29	y	n	n	n	n	
[per-]	v:latinprefix	29	both	n	n	n	y	perform, permit vs. percolate
[pro-]	v:latinprefix	29	both	n	n	n	y	program, protest vs. produce (and every other example, I think)
[se-]	v:latinprefix	29	both	n	n	n	y	seperate vs. secede
[sub-]	v:latinprefix	29	both	n	n	n	y	sublet, sublease vs. submerge, subside
[sup-]	v:latinprefix	29	both	n	n	n	y	supplicate vs. supply
[sur-]	v:latinprefix	29	both	n	n	n	y	survey vs. survive
[syn-]	v:latinprefix	29	both	n	n	n	y	syllabify vs. synthesize (most follow initial pattern)
[tele-]	v:latinprefix	29	y	n	n	n	n	
[up-]	v:latinprefix	29	both	n	n	n	y	upset, uplift, uproot vs. upload, update
ROOT	v:verbroot	30	y	y	n	y	n	
[-ed]	v:verbinflection	31	n	y	n	n	n	
[-ing]	v:verbinflection	31	n	y	n	n	n	
[-s]	v:verbinflection	31	n	y	n	n	n	
Ad-V	v:ad-V3	32	y	n	y	n	n	
NP{P,T}	v:obj-part	33	y	n	y	n	n	
VERBPART	v:obj-part	33	n	n	n	n	n	
NP{R}	v:rec	34	y	n	y	n	n	
Ad-VP	v:ad-VP6	35	y	n	y	n	n	
PP	v:PP	36	y	n	y	n	n	
AD-S	v:rightedge	37	y	n	y	n	n	
