Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
[mis-]	v:latinprefix	29	n	n	y	
[ob-]	v:latinprefix	29	n	n	y	
[para-]	v:latinprefix	29	n	n	y	
[per-]	v:latinprefix	29	n	n	y	
[pro-]	v:latinprefix	29	n	n	y	
[se-]	v:latinprefix	29	n	n	y	
[sub-]	v:latinprefix	29	n	n	y	
[sup-]	v:latinprefix	29	n	n	y	
[sur-]	v:latinprefix	29	n	n	y	
[syn-]	v:latinprefix	29	n	n	y	
[tele-]	v:latinprefix	29	n	n	y	
[up-]	v:latinprefix	29	n	n	y	
KEYSTONE	v:verbroot	30	na	na	na	
[-ed]	v:verbinflection	31	n	n	y	
[-ing]	v:verbinflection	31	n	n	y	
[-s]	v:verbinflection	31	n	n	y	
Ad-V	v:ad-V3	32	y	n	y	
NP{P,T}	v:obj-part	33	y	y	y	
PRON{P,T}	v:obj-part	33				
VERBPART	v:obj-part	33	n	n	y	cleaned up the kitchen and used the soap | cleaned up the kitchen and used up the soap
NP{R}	v:rec	34	n	n	y	
Ad-VP	v:ad-VP6	35	y	n	n	
PP	v:PP	36	y	y	y	
AD-S	v:rightedge	37	n	n	y	
