chart	file	width	height	units
tono_tree_06	laminar-families/nyan1308_tono_tree_06.pdf	12	8	in
tono_tree_07	laminar-families/nyan1308_tono_tree_07.pdf	12	8	in
tono_tree_08	laminar-families/nyan1308_tono_tree_08.pdf	12	8	in
tono_tree_09	laminar-families/nyan1308_tono_tree_09.pdf	12	8	in
length_laminar_forest	laminar-families/nyan1308_length_laminar_forest.pdf	20	14	in
length_tree_01	laminar-families/nyan1308_length_tree_01.pdf	12	8	in
length_tree_02	laminar-families/nyan1308_length_tree_02.pdf	12	8	in
length_tree_03	laminar-families/nyan1308_length_tree_03.pdf	12	8	in
phon_laminar_forest	laminar-families/nyan1308_phon_laminar_forest.pdf	20	14	in
phon_tree_01	laminar-families/nyan1308_phon_tree_01.pdf	12	8	in
phon_tree_02	laminar-families/nyan1308_phon_tree_02.pdf	12	8	in
phon_tree_03	laminar-families/nyan1308_phon_tree_03.pdf	12	8	in
phon_tree_04	laminar-families/nyan1308_phon_tree_04.pdf	12	8	in
phon_tree_05	laminar-families/nyan1308_phon_tree_05.pdf	12	8	in
phon_tree_06	laminar-families/nyan1308_phon_tree_06.pdf	12	8	in
inton_laminar_forest	laminar-families/nyan1308_inton_laminar_forest.pdf	20	14	in
inton_tree_01	laminar-families/nyan1308_inton_tree_01.pdf	12	8	in
phonologylike_laminar_forest	laminar-families/nyan1308_phonologylike_laminar_forest.pdf	20	14	in
phonologylike_tree_01	laminar-families/nyan1308_phonologylike_tree_01.pdf	12	8	in
phonologylike_tree_02	laminar-families/nyan1308_phonologylike_tree_02.pdf	12	8	in
phonologylike_tree_03	laminar-families/nyan1308_phonologylike_tree_03.pdf	12	8	in
phonologylike_tree_04	laminar-families/nyan1308_phonologylike_tree_04.pdf	12	8	in
phonologylike_tree_05	laminar-families/nyan1308_phonologylike_tree_05.pdf	12	8	in
phonologylike_tree_06	laminar-families/nyan1308_phonologylike_tree_06.pdf	12	8	in
syntaxlike_laminar_forest	laminar-families/nyan1308_syntaxlike_laminar_forest.pdf	20	14	in
syntaxlike_tree_01	laminar-families/nyan1308_syntaxlike_tree_01.pdf	12	8	in
syntaxlike_tree_02	laminar-families/nyan1308_syntaxlike_tree_02.pdf	12	8	in
syntaxlike_tree_03	laminar-families/nyan1308_syntaxlike_tree_03.pdf	12	8	in
syntaxlike_tree_04	laminar-families/nyan1308_syntaxlike_tree_04.pdf	12	8	in
syntaxlike_tree_05	laminar-families/nyan1308_syntaxlike_tree_05.pdf	12	8	in
syntaxlike_tree_06	laminar-families/nyan1308_syntaxlike_tree_06.pdf	12	8	in
syntaxlike_tree_07	laminar-families/nyan1308_syntaxlike_tree_07.pdf	12	8	in
syntaxlike_tree_08	laminar-families/nyan1308_syntaxlike_tree_08.pdf	12	8	in
syntaxlike_tree_09	laminar-families/nyan1308_syntaxlike_tree_09.pdf	12	8	in
syntaxlike_tree_10	laminar-families/nyan1308_syntaxlike_tree_10.pdf	12	8	in
syntaxlike_tree_11	laminar-families/nyan1308_syntaxlike_tree_11.pdf	12	8	in
syntaxlike_tree_12	laminar-families/nyan1308_syntaxlike_tree_12.pdf	12	8	in
syntaxlike_tree_13	laminar-families/nyan1308_syntaxlike_tree_13.pdf	12	8	in
syntaxlike_tree_14	laminar-families/nyan1308_syntaxlike_tree_14.pdf	12	8	in
syntaxlike_tree_15	laminar-families/nyan1308_syntaxlike_tree_15.pdf	12	8	in
syntaxlike_tree_16	laminar-families/nyan1308_syntaxlike_tree_16.pdf	12	8	in
syntaxlike_notono_laminar_forest	laminar-families/nyan1308_syntaxlike_notono_laminar_forest.pdf	20	14	in
syntaxlike_notono_tree_01	laminar-families/nyan1308_syntaxlike_notono_tree_01.pdf	12	8	in
syntaxlike_notono_tree_02	laminar-families/nyan1308_syntaxlike_notono_tree_02.pdf	12	8	in
syntaxlike_notono_tree_03	laminar-families/nyan1308_syntaxlike_notono_tree_03.pdf	12	8	in
syntaxlike_notono_tree_04	laminar-families/nyan1308_syntaxlike_notono_tree_04.pdf	12	8	in
laminar_overlay	laminar-families/nyan1308_laminar_overlay.pdf	20	14	in
laminar_overlay_legend	laminar-families/nyan1308_laminar_overlay_legend.pdf	20	14	in
all_families_labeled	laminar-families/nyan1308_all_families_labeled.pdf	20	14	in
all_families_labeled_legend	laminar-families/nyan1308_all_families_labeled_legend.pdf	20	14	in
all_families_labeled_orthographic_word	laminar-families/nyan1308_all_families_labeled_orthographic_word.pdf	20	14	in
all_families_labeled_orthographic_word_legend	laminar-families/nyan1308_all_families_labeled_orthographic_word_legend.pdf	20	14	in
freqtree	laminar-families/nyan1308_freqtree.pdf	16	10	in
most_binary_tree	laminar-families/nyan1308_most_binary_tree.pdf	16	10	in
most_binary_tree_orthographic_word	laminar-families/nyan1308_most_binary_tree_orthographic_word.pdf	16	10	in
four_trees	laminar-families/nyan1308_four_trees.pdf	24	16	in
conflict_groups	laminar-families/nyan1308_conflict_groups.pdf	24	20	in
exemplary_trees_1	laminar-families/nyan1308_exemplary_trees_1.pdf	76	41.3	cm
exemplary_trees_slide_1_tree	laminar-families/nyan1308_exemplary_trees_slide_1_tree.pdf	13.333	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/nyan1308_exemplary_trees_slide_1_evidence.pdf	25	41.3	cm
exemplary_trees_2	laminar-families/nyan1308_exemplary_trees_2.pdf	76	30.1	cm
exemplary_trees_slide_2_tree	laminar-families/nyan1308_exemplary_trees_slide_2_tree.pdf	13.333	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/nyan1308_exemplary_trees_slide_2_evidence.pdf	25	30.1	cm
exemplary_trees_3	laminar-families/nyan1308_exemplary_trees_3.pdf	76	22.4	cm
exemplary_trees_slide_3_tree	laminar-families/nyan1308_exemplary_trees_slide_3_tree.pdf	13.333	7.5	in
exemplary_trees_slide_3_evidence	laminar-families/nyan1308_exemplary_trees_slide_3_evidence.pdf	25	22.4	cm
exemplary_trees_4	laminar-families/nyan1308_exemplary_trees_4.pdf	76	23.1	cm
exemplary_trees_slide_4_tree	laminar-families/nyan1308_exemplary_trees_slide_4_tree.pdf	13.333	7.5	in
exemplary_trees_slide_4_evidence	laminar-families/nyan1308_exemplary_trees_slide_4_evidence.pdf	25	23.1	cm
exemplary_trees_5	laminar-families/nyan1308_exemplary_trees_5.pdf	76	23.1	cm
exemplary_trees_slide_5_tree	laminar-families/nyan1308_exemplary_trees_slide_5_tree.pdf	13.333	7.5	in
exemplary_trees_slide_5_evidence	laminar-families/nyan1308_exemplary_trees_slide_5_evidence.pdf	25	23.1	cm
exemplary_trees_6	laminar-families/nyan1308_exemplary_trees_6.pdf	76	32.2	cm
exemplary_trees_slide_6_tree	laminar-families/nyan1308_exemplary_trees_slide_6_tree.pdf	13.333	7.5	in
exemplary_trees_slide_6_evidence	laminar-families/nyan1308_exemplary_trees_slide_6_evidence.pdf	25	32.2	cm
exemplary_trees_7	laminar-families/nyan1308_exemplary_trees_7.pdf	76	14.7	cm
exemplary_trees_slide_7_tree	laminar-families/nyan1308_exemplary_trees_slide_7_tree.pdf	13.333	7.5	in
exemplary_trees_slide_7_evidence	laminar-families/nyan1308_exemplary_trees_slide_7_evidence.pdf	25	14.7	cm
forestspans_plot	pooled/nyan1308_forestspans_plot.pdf	34	24	cm
tree_count_by_class	counts-and-chance/nyan1308_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	counts-and-chance/nyan1308_tree_count_bundles.pdf	8	3.8	in
tree_count_all	counts-and-chance/nyan1308_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	counts-and-chance/nyan1308_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	counts-and-chance/nyan1308_fragmentation_test_plot.pdf	10	6.5	in
fragmentation_test_syntax_phon_plot	counts-and-chance/nyan1308_fragmentation_test_syntax_phon_plot.pdf	9	3.2	in
boundary_strength	boundaries/nyan1308_boundary_strength.pdf	11	7	in
boundary_strength_distributions	boundaries/nyan1308_boundary_strength_distributions.pdf	11	5	in
boundary_strength_overlay	boundaries/nyan1308_boundary_strength_overlay.pdf	13	7	in
forestspans_plot_no_tono	pooled/nyan1308_forestspans_plot_no_tono.pdf	34	24	cm
boundary_strength_no_tono	boundaries/nyan1308_boundary_strength_no_tono.pdf	11	7	in
boundary_strength_overlay_no_tono	boundaries/nyan1308_boundary_strength_overlay_no_tono.pdf	13	7	in
